date_key,date,day_of_week,month,quarter,year,is_weekend,is_month_end
20250824,2025-08-24,Sunday,8,3,2025,True,False
20250825,2025-08-25,Monday,8,3,2025,False,False
20250826,2025-08-26,Tuesday,8,3,2025,False,False
20250827,2025-08-27,Wednesday,8,3,2025,False,False
20250828,2025-08-28,Thursday,8,3,2025,False,False
20250829,2025-08-29,Friday,8,3,2025,False,False
20250830,2025-08-30,Saturday,8,3,2025,True,False
20250831,2025-08-31,Sunday,8,3,2025,True,True
20250901,2025-09-01,Monday,9,3,2025,False,False
20250902,2025-09-02,Tuesday,9,3,2025,False,False
20250903,2025-09-03,Wednesday,9,3,2025,False,False
20250904,2025-09-04,Thursday,9,3,2025,False,False
20250905,2025-09-05,Friday,9,3,2025,False,False
20250906,2025-09-06,Saturday,9,3,2025,True,False
20250907,2025-09-07,Sunday,9,3,2025,True,False
20250908,2025-09-08,Monday,9,3,2025,False,False
20250909,2025-09-09,Tuesday,9,3,2025,False,False
20250910,2025-09-10,Wednesday,9,3,2025,False,False
20250911,2025-09-11,Thursday,9,3,2025,False,False
20250912,2025-09-12,Friday,9,3,2025,False,False
20250913,2025-09-13,Saturday,9,3,2025,True,False
20250914,2025-09-14,Sunday,9,3,2025,True,False
20250915,2025-09-15,Monday,9,3,2025,False,False
20250916,2025-09-16,Tuesday,9,3,2025,False,False
20250917,2025-09-17,Wednesday,9,3,2025,False,False
20250918,2025-09-18,Thursday,9,3,2025,False,False
20250919,2025-09-19,Friday,9,3,2025,False,False
20250920,2025-09-20,Saturday,9,3,2025,True,False
20250921,2025-09-21,Sunday,9,3,2025,True,False
20250922,2025-09-22,Monday,9,3,2025,False,False
20250923,2025-09-23,Tuesday,9,3,2025,False,False
20250924,2025-09-24,Wednesday,9,3,2025,False,False
20250925,2025-09-25,Thursday,9,3,2025,False,False
20250926,2025-09-26,Friday,9,3,2025,False,False
20250927,2025-09-27,Saturday,9,3,2025,True,False
20250928,2025-09-28,Sunday,9,3,2025,True,False
20250929,2025-09-29,Monday,9,3,2025,False,False
20250930,2025-09-30,Tuesday,9,3,2025,False,True
20251001,2025-10-01,Wednesday,10,4,2025,False,False
20251002,2025-10-02,Thursday,10,4,2025,False,False
20251003,2025-10-03,Friday,10,4,2025,False,False
20251004,2025-10-04,Saturday,10,4,2025,True,False
20251005,2025-10-05,Sunday,10,4,2025,True,False
20251006,2025-10-06,Monday,10,4,2025,False,False
20251007,2025-10-07,Tuesday,10,4,2025,False,False
20251008,2025-10-08,Wednesday,10,4,2025,False,False
20251009,2025-10-09,Thursday,10,4,2025,False,False
20251010,2025-10-10,Friday,10,4,2025,False,False
20251011,2025-10-11,Saturday,10,4,2025,True,False
20251012,2025-10-12,Sunday,10,4,2025,True,False
20251013,2025-10-13,Monday,10,4,2025,False,False
20251014,2025-10-14,Tuesday,10,4,2025,False,False
20251015,2025-10-15,Wednesday,10,4,2025,False,False
20251016,2025-10-16,Thursday,10,4,2025,False,False
20251017,2025-10-17,Friday,10,4,2025,False,False
20251018,2025-10-18,Saturday,10,4,2025,True,False
20251019,2025-10-19,Sunday,10,4,2025,True,False
20251020,2025-10-20,Monday,10,4,2025,False,False
20251021,2025-10-21,Tuesday,10,4,2025,False,False
20251022,2025-10-22,Wednesday,10,4,2025,False,False
20251023,2025-10-23,Thursday,10,4,2025,False,False
