appointment_id,lead_id,appointment_datetime,show_flag,showroom_visit_id
60000,70186,2025-09-11T22:47:00,False,65086.0
60001,70221,2025-09-23T04:58:00,False,65025.0
60002,70118,2025-10-12T02:31:00,True,65000.0
60003,70150,2025-10-16T19:09:00,False,65024.0
60004,70116,2025-10-13T06:39:00,True,65001.0
60005,70081,2025-09-26T12:25:00,False,
60006,70046,2025-09-17T10:58:00,True,65002.0
60007,70230,2025-10-18T05:38:00,True,65003.0
60008,70059,2025-10-20T03:59:00,True,65004.0
60009,70204,2025-09-12T05:46:00,True,65005.0
60010,70100,2025-10-10T06:59:00,True,65006.0
60011,70130,2025-10-19T10:05:00,True,65007.0
60012,70048,2025-10-25T10:55:00,True,65008.0
60013,70106,2025-09-03T02:48:00,True,65009.0
60014,70023,2025-09-12T05:09:00,False,
60015,70110,2025-09-25T06:01:00,False,65024.0
60016,70233,2025-09-28T05:56:00,False,
60017,70078,2025-10-10T08:03:00,True,65010.0
60018,70124,2025-09-29T00:05:00,True,65011.0
60019,70156,2025-09-21T01:58:00,False,65026.0
60020,70065,2025-10-10T05:13:00,False,
60021,70172,2025-09-09T07:39:00,False,65010.0
60022,70196,2025-10-23T05:19:00,False,65009.0
60023,70177,2025-09-23T09:01:00,True,65012.0
60024,70212,2025-09-28T23:54:00,True,65013.0
60025,70016,2025-09-26T03:38:00,True,65014.0
60026,70180,2025-09-19T07:24:00,True,65015.0
60027,70119,2025-10-09T07:02:00,True,65016.0
60028,70049,2025-09-02T02:12:00,False,65017.0
60029,70134,2025-09-20T12:44:00,False,65095.0
60030,70211,2025-09-07T21:30:00,False,
60031,70067,2025-09-15T05:34:00,False,
60032,70132,2025-10-07T06:47:00,False,
60033,70096,2025-09-24T07:49:00,True,65017.0
60034,70220,2025-09-27T02:02:00,True,65018.0
60035,70226,2025-10-21T12:47:00,False,
60036,70191,2025-10-20T06:49:00,False,65008.0
60037,70007,2025-09-11T06:58:00,True,65019.0
60038,70201,2025-10-21T12:14:00,False,65021.0
60039,70237,2025-10-09T06:06:00,True,65020.0
60040,70032,2025-09-23T09:59:00,True,65021.0
60041,70184,2025-10-05T04:29:00,True,65022.0
60042,70238,2025-09-06T03:40:00,True,65023.0
60043,70075,2025-09-26T06:39:00,True,65024.0
60044,70189,2025-10-21T20:46:00,True,65025.0
60045,70152,2025-10-09T06:30:00,False,
60046,70165,2025-10-12T01:07:00,False,
60047,70111,2025-10-08T04:53:00,False,65009.0
60048,70072,2025-10-14T11:45:00,True,65026.0
60049,70137,2025-10-12T07:50:00,False,
60050,70141,2025-09-13T22:58:00,False,
60051,70140,2025-09-27T06:23:00,True,65024.0
60052,70169,2025-10-09T03:07:00,True,65028.0
60053,70143,2025-10-11T04:07:00,True,65019.0
60054,70108,2025-09-25T01:50:00,True,65030.0
60055,70195,2025-10-14T04:57:00,True,65013.0
60056,70200,2025-10-23T23:16:00,False,
60057,70052,2025-08-31T04:11:00,True,65018.0
60058,70136,2025-09-20T06:28:00,True,65033.0
60059,70077,2025-09-18T05:06:00,True,65034.0
60060,70171,2025-10-08T04:01:00,True,65035.0
60061,70228,2025-09-08T00:19:00,False,
60062,70068,2025-09-29T21:13:00,False,65041.0
60063,70034,2025-09-07T02:57:00,True,65036.0
60064,70099,2025-09-20T05:48:00,True,65037.0
60065,70041,2025-09-25T08:55:00,True,65038.0
60066,70085,2025-09-14T01:59:00,True,65039.0
60067,70090,2025-09-26T01:54:00,True,65040.0
60068,70064,2025-10-02T02:51:00,True,65041.0
60069,70030,2025-09-17T23:29:00,False,65035.0
60070,70088,2025-09-27T09:36:00,False,65009.0
60071,70060,2025-10-21T05:59:00,True,65042.0
60072,70097,2025-10-08T23:53:00,False,
60073,70070,2025-10-10T09:57:00,False,
60074,70216,2025-09-04T23:55:00,True,65014.0
60075,70095,2025-09-05T07:40:00,True,65044.0
60076,70190,2025-10-07T01:25:00,False,65062.0
60077,70042,2025-10-02T09:33:00,True,65045.0
60078,70161,2025-10-16T23:50:00,False,
60079,70145,2025-09-25T00:38:00,True,65046.0
60080,70146,2025-08-31T02:22:00,False,65026.0
60081,70182,2025-09-23T05:39:00,True,65000.0
60082,70188,2025-10-01T08:27:00,True,65045.0
60083,70035,2025-09-06T02:19:00,False,
60084,70062,2025-09-20T21:38:00,True,65011.0
60085,70079,2025-10-07T10:12:00,False,65079.0
60086,70047,2025-10-11T01:46:00,True,65050.0
60087,70000,2025-09-10T05:52:00,False,65086.0
60088,70148,2025-10-26T09:48:00,True,65051.0
60089,70087,2025-09-26T09:47:00,False,65051.0
60090,70181,2025-09-08T11:19:00,True,65052.0
60091,70227,2025-09-12T01:52:00,True,65053.0
60092,70147,2025-10-19T02:46:00,True,65054.0
60093,70094,2025-10-11T07:30:00,False,65033.0
60094,70104,2025-08-30T06:45:00,False,
60095,70198,2025-10-11T05:47:00,True,65055.0
60096,70024,2025-10-17T22:48:00,True,65056.0
60097,70002,2025-09-30T07:19:00,False,
60098,70006,2025-09-17T02:31:00,False,65037.0
60099,70153,2025-09-06T00:29:00,True,65057.0
60100,70091,2025-10-14T03:42:00,True,65058.0
60101,70149,2025-09-10T05:18:00,False,
60102,70001,2025-10-03T11:13:00,False,65044.0
60103,70019,2025-09-05T10:25:00,True,65026.0
60104,70236,2025-10-03T02:07:00,True,65015.0
60105,70038,2025-09-05T02:01:00,False,65050.0
60106,70050,2025-09-07T08:42:00,True,65009.0
60107,70202,2025-10-06T03:38:00,True,65062.0
60108,70194,2025-10-17T04:01:00,True,65063.0
60109,70206,2025-10-11T04:16:00,False,65045.0
60110,70056,2025-10-21T09:14:00,False,65079.0
60111,70014,2025-09-30T03:26:00,True,65044.0
60112,70107,2025-09-21T10:05:00,True,65065.0
