interaction_id,lead_id,channel,direction,timestamp,outcome,response_time_seconds,script_version
800000,70000,Call,Inbound,2025-09-05T20:12:00,No Answer,5888,v2
800001,70000,SMS,Outbound,2025-09-06T09:00:00,Connected,6200,v3
800002,70000,Call,Outbound,2025-09-06T23:53:00,Replied,3416,v2
800003,70000,SMS,Inbound,2025-09-07T16:02:00,Left VM,3655,v1
800004,70000,SMS,Outbound,2025-09-07T16:52:00,Left VM,2801,v2
800005,70001,Email,Outbound,2025-09-27T01:19:00,Replied,6249,v1
800006,70001,SMS,Outbound,2025-09-28T00:21:00,Opted-Out,503,v3
800007,70001,SMS,Inbound,2025-09-28T23:23:00,Replied,3323,v3
800008,70001,Email,Inbound,2025-09-29T18:46:00,No Answer,94,v2
800009,70002,Call,Inbound,2025-09-24T16:39:00,Replied,5304,v1
800010,70002,SMS,Inbound,2025-09-25T11:43:00,No Answer,6680,v3
800011,70002,Call,Inbound,2025-09-26T02:01:00,Left VM,332,v3
800012,70002,Email,Outbound,2025-09-26T13:56:00,Opted-Out,4460,v2
800013,70002,Call,Inbound,2025-09-26T21:43:00,Opted-Out,2821,v3
800014,70003,Call,Inbound,2025-10-13T14:54:00,Connected,6847,v2
800015,70003,SMS,Outbound,2025-10-14T05:49:00,Left VM,6924,v2
800016,70004,SMS,Inbound,2025-09-09T09:25:00,Left VM,421,v3
800017,70004,Email,Inbound,2025-09-09T14:10:00,Opted-Out,6066,v1
800018,70004,Email,Outbound,2025-09-10T06:08:00,Opted-Out,4663,v3
800019,70005,Call,Inbound,2025-09-25T09:09:00,No Answer,2360,v3
800020,70005,SMS,Outbound,2025-09-26T05:12:00,Replied,4287,v3
800021,70005,Call,Inbound,2025-09-26T14:09:00,Opted-Out,4800,v1
800022,70005,Email,Outbound,2025-09-27T02:58:00,Connected,5859,v2
800023,70005,Call,Outbound,2025-09-27T17:31:00,Left VM,3510,v1
800024,70006,Email,Outbound,2025-09-09T17:20:00,No Answer,5574,v3
800025,70006,SMS,Inbound,2025-09-10T07:34:00,No Answer,4816,v2
800026,70006,Email,Inbound,2025-09-11T05:47:00,Replied,6024,v2
800027,70006,Call,Outbound,2025-09-11T11:50:00,Replied,5855,v2
800028,70007,SMS,Outbound,2025-09-11T12:59:00,Connected,3760,v2
800029,70007,SMS,Outbound,2025-09-11T14:35:00,Opted-Out,3055,v1
800030,70008,Call,Outbound,2025-10-13T09:58:00,No Answer,4713,v2
800031,70008,SMS,Outbound,2025-10-13T11:50:00,Left VM,3073,v2
800032,70008,Email,Inbound,2025-10-14T01:06:00,Replied,259,v1
800033,70008,SMS,Inbound,2025-10-14T06:27:00,Left VM,2529,v2
