deal_id,store_id,vehicle_id,customer_id,stock_no,new_used,sale_type,selling_price,msrp,invoice,front_gross,back_gross,total_gross,doc_fee,ttl_fee,trade_id,trade_allowance,payoff,cash_down,net_cap_cost,lender_id,apr,term_months,reserve_income,product_income,deal_date,delivered_flag,we_owe_flag,ofac_pass_flag,red_flags_cleared_flag,csi_eligibility_flag,fi_manager_id,sales_manager_id
90000,2,9015,5074,ATN-00016,Used,Retail,55020.3,55329.86,53636.6,1333.7,943.33,2277.03,692.61,1801.14,,0.0,0.0,1746.44,,10,8.61,48,569.29,374.04,2025-10-13,True,False,True,True,True,1021,1027
90001,2,9078,5028,ATN-00079,Used,Retail,34284.75,34452.6,33012.95,1050.41,1467.63,2518.04,338.85,2696.99,35950.0,16126.62,8569.49,1800.79,,13,7.85,72,379.87,1087.76,2025-09-18,True,False,True,True,True,1016,1023
90002,1,9041,5082,ATN-00042,Used,Retail,48840.68,50182.22,49170.96,-486.87,1956.22,1469.35,286.78,2156.09,31610.0,10200.48,5329.58,1108.58,,14,7.93,36,246.18,1710.04,2025-10-19,True,False,True,True,True,1006,1022
90003,2,9059,5043,ATN-00060,New,Lease,25770.17,27513.25,26394.24,-674.07,338.62,-335.45,467.18,3037.45,,0.0,0.0,4416.46,23611.57,11,7.48,48,360.81,-22.19,2025-10-10,True,False,True,True,True,1016,1022
90004,1,9062,5066,ATN-00063,New,Retail,43434.51,46881.15,44734.44,-1349.93,1462.24,112.31,99.12,2610.41,,0.0,0.0,7782.44,,14,9.31,84,266.19,1196.05,2025-10-26,True,False,True,True,True,1016,1023
90005,1,9025,5094,ATN-00026,New,Retail,24537.1,26469.81,25193.67,-1049.96,419.62,-630.34,543.39,3028.09,38515.0,24892.83,17169.46,5726.36,,14,9.37,84,250.25,169.37,2025-09-05,True,False,True,True,True,1006,1022
90006,2,9069,5081,ATN-00070,New,Retail,57954.24,62721.67,60725.65,-2821.41,1048.08,-1773.33,327.25,4009.56,,0.0,0.0,6063.52,,14,10.44,36,472.45,575.63,2025-09-29,True,False,True,True,True,1020,1014
90007,2,9057,5001,ATN-00058,New,Retail,46202.9,49099.34,46447.07,-525.02,882.15,357.13,140.12,2868.14,38053.0,19060.06,11542.48,5596.49,,14,5.65,36,413.52,468.63,2025-10-11,True,False,True,True,True,1006,1014
90008,1,9054,5025,ATN-00055,Used,Retail,29781.05,30039.99,27950.04,1781.01,818.06,2599.07,269.82,3163.35,,0.0,0.0,5949.87,,11,4.37,60,427.85,390.21,2025-10-06,True,True,True,True,True,1016,1027
90009,1,9050,5018,ATN-00051,Used,Retail,57047.62,58305.65,54802.55,2195.07,1993.4,4188.47,240.58,3184.56,,0.0,0.0,7779.23,,11,8.77,84,243.51,1749.89,2025-09-07,True,False,True,True,True,1021,1014
