fi_contract_id,deal_id,product_id,price,cost,margin
97000,90000,304,1555.27,890.05,665.22
97001,90002,302,1969.78,1081.68,888.1
97002,90002,304,1476.7,1012.94,463.76
97003,90002,302,761.62,432.59,329.03
97004,90004,301,1585.89,970.39,615.5
97005,90004,302,471.2,238.58,232.62
97006,90005,304,1837.33,1257.11,580.22
97007,90005,300,2263.95,1390.25,873.7
97008,90006,301,1462.24,920.2,542.04
97009,90006,303,659.06,341.97,317.09
97010,90006,300,2085.86,1028.22,1057.64
97011,90007,304,1191.44,680.26,511.18
97012,90007,303,2664.12,1821.94,842.18
97013,90008,303,2368.01,1643.53,724.48
97014,90009,303,2628.38,1816.91,811.47
97015,90009,304,442.02,276.85,165.17
97016,90013,302,2271.03,1407.51,863.52
97017,90013,303,970.76,563.49,407.27
97018,90013,304,2347.82,1065.45,1282.37
97019,90014,301,378.62,256.95,121.67
97020,90016,302,539.59,369.0,170.59
97021,90016,301,1848.81,1265.9,582.91
97022,90017,304,2472.27,1271.7,1200.57
97023,90017,301,1579.9,1033.54,546.36
97024,90017,303,793.07,391.27,401.8
97025,90018,303,2208.61,1465.9,742.71
97026,90019,302,543.98,260.1,283.88
97027,90019,300,840.64,424.83,415.81
97028,90019,303,2046.51,868.68,1177.83
97029,90020,304,2328.9,1297.57,1031.33
97030,90020,303,354.08,206.02,148.06
97031,90020,301,2950.43,1232.52,1717.91
97032,90021,300,556.82,223.02,333.8
97033,90021,304,2958.85,1194.71,1764.14
97034,90022,300,1337.83,546.23,791.6
97035,90022,301,2742.89,1560.73,1182.16
97036,90024,304,807.9,473.64,334.26
97037,90025,300,1744.08,1208.18,535.9
97038,90027,302,1918.24,1097.61,820.63
97039,90028,300,2206.19,1464.69,741.5
97040,90028,300,778.23,346.04,432.19
97041,90028,302,2510.29,1026.97,1483.32
97042,90031,301,2823.59,1220.73,1602.86
97043,90031,304,2143.19,1236.69,906.5
97044,90032,301,2729.62,1499.37,1230.25
97045,90033,303,2991.82,2022.47,969.35
97046,90034,300,2806.24,1583.83,1222.41
97047,90034,300,1348.88,720.82,628.06
97048,90034,300,613.23,347.3,265.93
97049,90035,303,963.8,426.4,537.4
97050,90035,303,2892.05,1582.62,1309.43
97051,90036,303,411.29,171.75,239.54
97052,90036,300,2951.33,1605.9,1345.43
97053,90036,303,2576.72,1540.62,1036.1
97054,90039,301,2761.04,1570.75,1190.29
97055,90039,303,2194.96,1221.5,973.46
