finance_contract_id,deal_id,lender_id,apr,term_months,amount_financed,reserve_amount,buy_rate,sell_rate,approval_ts,stip_count,funding_status,funding_date,CIT_age_days,chargeback_risk_score
95000,90000,10,8.61,48,55767.61,569.29,6.97,8.61,2025-10-11T13:00:00,5,Funded,2025-10-17,0,61.0
95001,90001,13,7.85,72,27962.67,379.87,6.1,7.85,2025-09-17T21:00:00,3,Funded,2025-09-23,0,83.8
95002,90002,14,7.93,36,45304.07,246.18,7.08,7.93,2025-10-18T13:00:00,5,Funded,2025-10-26,0,69.14
95003,90003,11,7.48,48,24858.34,360.81,6.9,7.48,2025-10-08T14:00:00,0,In CIT,,13,8.86
95004,90004,14,9.31,84,38361.6,266.19,8.83,9.31,2025-10-24T05:00:00,3,Funded,2025-10-31,0,83.67
95005,90005,14,9.37,84,14658.85,250.25,8.53,9.37,2025-09-03T07:00:00,0,Rejected,,0,86.52
95006,90006,14,10.44,36,56227.53,472.45,8.63,10.44,2025-09-27T07:00:00,4,Funded,2025-10-03,0,32.88
95007,90007,14,5.65,36,36097.09,413.52,3.68,5.65,2025-10-10T18:00:00,0,Funded,2025-10-15,0,10.11
95008,90008,11,4.37,60,27264.35,427.85,3.2,4.37,2025-10-05T09:00:00,4,In CIT,,4,43.38
95009,90009,11,8.77,84,52693.53,243.51,7.65,8.77,2025-09-05T11:00:00,3,Funded,2025-09-14,0,60.66
95010,90010,10,11.3,84,56085.03,466.81,10.53,11.3,2025-10-13T09:00:00,0,In CIT,,11,59.03
95011,90011,14,5.38,60,48239.63,322.64,4.23,5.38,2025-10-12T16:00:00,1,In CIT,,2,36.07
95012,90012,12,3.51,48,49443.54,114.01,1.88,3.51,2025-08-29T02:00:00,5,Funded,2025-09-06,0,3.99
95013,90013,14,7.2,36,49613.26,353.63,5.5,7.2,2025-09-20T11:00:00,4,Funded,2025-09-29,0,3.73
95014,90014,12,5.54,84,54329.17,105.92,4.2,5.54,2025-09-25T22:00:00,1,Funded,2025-10-02,0,56.69
95015,90015,10,12.15,72,42940.81,297.47,11.95,12.15,2025-09-12T21:00:00,0,Funded,2025-09-19,0,72.91
95016,90016,13,10.76,48,39977.38,126.18,10.04,10.76,2025-10-01T04:00:00,2,In CIT,,5,35.24
95017,90017,12,7.4,72,23582.98,182.17,6.85,7.4,2025-10-21T20:00:00,2,Rejected,,0,45.82
95018,90018,14,10.29,48,48193.36,224.09,9.76,10.29,2025-09-06T13:00:00,1,Rejected,,0,55.85
95019,90019,14,8.76,36,55744.56,27.6,8.12,8.76,2025-09-30T22:00:00,2,In CIT,,11,78.1
95020,90020,14,3.78,48,49181.29,91.06,2.07,3.78,2025-09-23T02:00:00,2,Funded,2025-10-01,0,61.64
95021,90021,13,6.52,48,42774.78,448.36,5.89,6.52,2025-10-12T04:00:00,0,Funded,2025-10-16,0,91.42
95022,90022,14,6.24,36,54006.4,339.43,5.61,6.24,2025-10-17T16:00:00,5,Funded,2025-10-25,0,18.62
95023,90023,13,7.41,48,59702.52,114.53,5.7,7.41,2025-09-05T16:00:00,2,Funded,2025-09-11,0,33.7
95024,90024,11,8.74,60,26212.86,5.12,7.23,8.74,2025-09-05T13:00:00,2,Funded,2025-09-11,0,1.59
95025,90025,11,4.92,48,33155.55,209.11,3.1,4.92,2025-09-06T03:00:00,5,Funded,2025-09-12,0,56.05
95026,90026,13,4.89,72,26908.41,520.52,4.53,4.89,2025-09-29T08:00:00,5,In CIT,,9,7.59
95027,90027,10,10.9,60,26004.45,449.81,9.2,10.9,2025-08-27T14:00:00,5,Funded,2025-09-03,0,34.02
95028,90028,13,3.06,60,47840.93,180.42,1.22,3.06,2025-08-28T17:00:00,5,Funded,2025-08-31,0,81.46
95029,90029,13,11.13,72,38434.44,357.72,9.9,11.13,2025-09-19T18:00:00,2,In CIT,,5,99.94
95030,90030,11,12.04,36,42531.12,192.64,11.55,12.04,2025-09-16T14:00:00,5,Funded,2025-09-17,0,99.27
95031,90031,12,4.18,84,44845.14,264.25,2.51,4.18,2025-09-27T09:00:00,1,Funded,2025-10-01,0,87.51
95032,90032,12,11.77,36,51175.41,85.56,11.48,11.77,2025-10-18T05:00:00,1,Funded,2025-10-22,0,96.46
95033,90033,14,10.26,36,46010.52,539.72,8.58,10.26,2025-09-25T21:00:00,4,In CIT,,8,55.12
95034,90034,14,5.53,72,17010.78,377.23,5.16,5.53,2025-10-05T14:00:00,4,Funded,2025-10-13,0,39.96
95035,90035,10,12.55,48,30248.84,513.73,11.06,12.55,2025-10-05T02:00:00,2,Funded,2025-10-13,0,80.34
95036,90036,10,4.89,60,46952.85,492.02,4.16,4.89,2025-09-09T08:00:00,2,Funded,2025-09-15,0,54.04
95037,90037,13,11.48,60,49934.17,135.75,10.84,11.48,2025-09-08T03:00:00,1,Funded,2025-09-12,0,79.56
95038,90038,13,11.12,48,44044.6,356.39,9.16,11.12,2025-08-27T15:00:00,5,Funded,2025-08-30,0,47.57
95039,90039,10,9.27,84,61698.31,91.11,7.83,9.27,2025-10-12T02:00:00,5,Funded,2025-10-17,0,64.5
