inventory_snapshot_id,store_id,vehicle_id,date_key,days_in_stock,lot_location,price_to_market_pct,asking_price,vehicle_cost,floorplan_status,flooring_date,floorplan_interest_to_date,vdp_views_7d,srp_views_7d,photos_count,listing_status
197552,1,9000,20251023,7,Detail,101.2,44234.42,42094.97,True,2025-08-27,3.71,394,1876,26,Not Listed
141820,2,9001,20251023,89,In Recon,101.81,23528.89,22922.65,True,2025-09-20,206.29,415,983,26,Not Listed
122354,1,9002,20251023,63,Frontline,98.0,43642.89,41062.14,True,2025-09-29,67.43,209,952,32,Listed
160768,2,9003,20251023,41,Detail,104.23,29627.93,29688.27,False,,0.0,72,1511,27,Not Listed
182862,1,9004,20251023,53,Photo,104.5,55525.31,54357.04,True,2025-09-05,157.64,7,889,14,Listed
135506,2,9005,20251023,19,Frontline,100.93,54822.05,55561.49,True,2025-09-03,31.93,254,803,13,Listed
194860,2,9006,20251023,38,Photo,103.3,23982.51,23313.34,True,2025-09-29,65.22,436,327,34,Listed
179667,2,9007,20251023,85,Wholesale Pending,95.6,58062.37,59831.53,True,2025-09-12,192.53,265,1931,34,Not Listed
182773,1,9008,20251023,102,Frontline,97.16,27362.37,26061.19,False,,0.0,159,1400,30,Listed
116794,2,9009,20251023,78,Frontline,96.22,64486.87,60141.27,True,2025-09-06,196.39,242,129,4,Listed
190214,1,9010,20251023,57,Frontline,98.7,69899.23,61046.46,False,,0.0,160,1298,33,Listed
116663,2,9011,20251023,100,Frontline,97.81,68556.39,61085.1,True,2025-07-26,98.59,293,1988,17,Listed
164040,2,9012,20251023,90,Frontline,100.93,49672.37,44554.14,False,,0.0,160,1046,9,Listed
195397,2,9013,20251023,49,In Recon,102.5,43540.84,45763.34,True,2025-08-22,81.18,199,1592,15,Not Listed
129272,1,9014,20251023,101,In Recon,102.7,27064.02,26267.66,True,2025-10-16,170.12,422,1271,33,Not Listed
170295,1,9015,20251023,71,Frontline,96.46,58916.74,53350.96,True,2025-09-13,142.85,330,385,10,Listed
149284,2,9016,20251023,37,In Recon,102.33,35823.43,32700.16,True,2025-08-20,44.63,436,22,22,Not Listed
110316,2,9017,20251023,33,Frontline,97.04,53055.41,50957.75,True,2025-08-02,79.4,75,914,27,Listed
125923,2,9018,20251023,71,Frontline,96.57,27594.71,27888.52,True,2025-09-18,116.43,300,263,23,Listed
194437,2,9019,20251023,2,Photo,96.24,38857.71,36491.39,True,2025-09-06,1.71,321,889,23,Listed
174136,1,9020,20251023,50,In Recon,96.78,36508.85,31435.25,True,2025-08-02,60.36,28,1480,11,Not Listed
193566,1,9021,20251023,63,Frontline,95.64,30557.88,30151.96,True,2025-08-18,57.23,184,1991,25,Listed
168770,2,9022,20251023,43,Frontline,95.81,52077.8,47959.18,True,2025-09-02,80.1,202,1422,12,Listed
134177,1,9023,20251023,70,Detail,103.23,52371.86,54172.25,True,2025-10-09,168.48,330,1399,38,Not Listed
199421,1,9024,20251023,3,Detail,95.52,27210.42,23457.31,True,2025-10-18,1.82,445,281,35,Not Listed
137963,2,9025,20251023,40,Detail,98.23,23947.31,24929.81,True,2025-10-21,71.02,365,1427,29,Not Listed
100937,2,9026,20251023,70,Frontline,95.68,43142.46,39419.55,True,2025-09-24,136.98,297,1805,26,Listed
182271,2,9027,20251023,65,Frontline,103.99,42012.77,41937.22,True,2025-08-16,33.69,191,1046,27,Listed
134123,2,9028,20251023,20,Detail,103.35,25191.73,26150.24,True,2025-09-28,26.35,146,924,4,Not Listed
114770,1,9029,20251023,57,In Recon,101.03,63091.49,62057.2,True,2025-09-02,57.65,54,1521,16,Not Listed
177759,2,9030,20251023,25,In Recon,102.6,55091.0,55408.19,True,2025-07-27,54.64,27,1326,17,Not Listed
128367,1,9031,20251023,72,Detail,103.9,67866.45,60713.28,True,2025-10-20,91.78,105,1023,27,Not Listed
162937,2,9032,20251023,92,Wholesale Pending,98.27,57238.73,51471.96,True,2025-10-02,257.79,341,1755,18,Not Listed
181169,1,9033,20251023,9,Photo,101.16,26967.44,24232.75,False,,0.0,140,1904,3,Listed
112744,1,9034,20251023,38,In Recon,99.45,23497.41,23344.62,False,,0.0,330,390,30,Not Listed
104586,1,9035,20251023,94,Frontline,103.76,28834.46,27634.83,True,2025-10-21,116.91,134,935,16,Listed
162456,1,9036,20251023,15,In Recon,104.19,51250.27,52491.09,True,2025-10-20,40.51,44,1484,18,Not Listed
173823,2,9037,20251023,58,Frontline,103.7,45775.09,47813.22,True,2025-09-19,32.27,354,313,16,Listed
154057,1,9038,20251023,8,Frontline,98.98,52555.34,44326.61,True,2025-08-29,20.61,295,1837,5,Listed
126568,2,9039,20251023,84,Detail,95.63,29321.22,30695.05,True,2025-09-17,192.96,139,1972,15,Not Listed
105783,2,9040,20251023,30,Detail,101.9,40697.88,37684.95,False,,0.0,359,1000,17,Not Listed
161928,1,9041,20251023,91,Frontline,103.48,48910.28,48697.79,True,2025-08-08,129.06,190,1487,38,Listed
148773,2,9042,20251023,69,In Recon,96.46,61292.39,52024.77,True,2025-10-01,134.59,392,598,12,Not Listed
