lead_id,store_id,customer_id,vehicle_id,vendor_id,campaign_name,utm_source,utm_medium,utm_campaign,lead_created_ts,lead_status,assigned_to_employee_id,last_contact_ts,first_response_seconds
70000,1,5044,9079,203,Used Car Promo,meta,cpc,oct-clearance,2025-09-05T13:52:00,New,1004,2025-09-05T17:14:00,111.0
70001,2,5026,9059,201,Brand Search,email,email,weekend,2025-09-26T19:13:00,Lost,1002,2025-09-27T04:01:00,2851.0
70002,1,5099,9070,200,SUV Push,email,referral,fall-used,2025-09-23T19:19:00,Sold,1002,2025-09-24T01:11:00,273.0
70003,1,5058,9011,204,Used Car Promo,email,email,oct-clearance,2025-10-13T13:37:00,Contacted,1004,2025-10-13T16:50:00,3292.0
70004,1,5044,9031,200,Email Blast Oct,email,cpm,weekend,2025-09-08T11:31:00,Contacted,1002,2025-09-08T15:58:00,2593.0
70005,2,5056,9055,203,SUV Push,google,referral,fall-used,2025-09-24T12:20:00,Show,1024,2025-09-24T17:05:00,
70006,2,5005,9048,201,Weekend Sale,meta,email,fall-used,2025-09-09T09:31:00,Contacted,1004,2025-09-10T01:40:00,2349.0
70007,1,5070,9053,203,Email Blast Oct,cargurus,email,fall-used,2025-09-10T18:58:00,Contacted,1004,2025-09-10T19:09:00,
70008,2,5089,9053,204,SUV Push,cargurus,cpc,weekend,2025-10-12T19:32:00,Sold,1004,2025-10-13T02:10:00,819.0
70009,2,5000,9070,203,Email Blast Oct,google,cpc,weekend,2025-09-26T19:31:00,Appt Set,1024,2025-09-26T21:57:00,691.0
70010,2,5076,9074,201,Brand Search,google,email,brand-search,2025-08-26T11:11:00,Contacted,1024,2025-08-27T04:04:00,
70011,1,5054,9010,200,SUV Push,email,referral,oct-suv,2025-09-26T18:44:00,Contacted,1004,2025-09-27T16:42:00,261.0
70012,1,5026,9024,204,Email Blast Oct,website,cpc,oct-suv,2025-08-27T14:35:00,Sold,1004,2025-08-27T17:24:00,1763.0
70013,1,5046,9027,201,Weekend Sale,email,cpm,weekend,2025-09-06T17:06:00,Appt Set,1024,2025-09-06T23:22:00,1006.0
70014,2,5026,9008,205,Used Car Promo,email,referral,oct-suv,2025-09-28T17:26:00,Appt Set,1002,2025-09-28T23:45:00,3198.0
70015,2,5083,9009,202,Email Blast Oct,website,organic,fall-used,2025-09-28T15:32:00,Appt Set,1004,2025-09-29T13:18:00,707.0
70016,2,5071,9034,202,Used Car Promo,carsdotcom,referral,oct-suv,2025-09-20T14:38:00,Contacted,1024,2025-09-20T15:58:00,2294.0
70017,1,5070,9056,201,Email Blast Oct,google,organic,weekend,2025-09-11T18:01:00,New,1024,2025-09-12T13:10:00,1296.0
70018,1,5043,9045,202,Email Blast Oct,website,cpm,oct-clearance,2025-09-29T18:09:00,Contacted,1004,2025-09-30T04:34:00,1945.0
70019,2,5100,9035,203,SUV Push,carsdotcom,email,oct-suv,2025-08-29T18:25:00,Show,1024,2025-08-30T16:30:00,950.0
70020,1,5044,9031,202,Email Blast Oct,carsdotcom,referral,oct-suv,2025-09-12T09:46:00,New,1002,2025-09-13T08:12:00,1622.0
70021,1,5007,9065,202,Weekend Sale,google,organic,weekend,2025-10-17T18:59:00,Appt Set,1024,2025-10-18T00:15:00,3244.0
70022,2,5091,9023,203,Weekend Sale,website,email,oct-suv,2025-09-13T17:44:00,Appt Set,1002,2025-09-14T08:38:00,266.0
70023,1,5064,9060,204,Used Car Promo,cargurus,cpc,brand-search,2025-09-11T15:09:00,Contacted,1024,2025-09-12T06:08:00,398.0
70024,2,5055,9056,205,Weekend Sale,meta,email,weekend,2025-10-12T11:48:00,Contacted,1024,2025-10-13T05:51:00,2350.0
70025,1,5077,9013,200,Used Car Promo,carsdotcom,organic,fall-used,2025-09-08T12:04:00,Contacted,1002,2025-09-08T23:10:00,1821.0
70026,2,5004,9006,204,Used Car Promo,website,cpm,brand-search,2025-09-15T18:41:00,Contacted,1002,2025-09-16T02:49:00,1308.0
70027,1,5006,9010,205,Brand Search,meta,email,oct-clearance,2025-09-05T19:23:00,Sold,1004,2025-09-05T20:01:00,3043.0
