spend_id,store_id,vendor_id,campaign_name,date,impressions,clicks,cost,leads,shows,sales
150000,1,200,Used Car Promo,2025-09-24,18219,245,370.61,32,13,1
150001,2,201,Used Car Promo,2025-09-24,1926,194,535.52,32,16,4
150002,1,202,Weekend Sale,2025-09-24,774,132,126.68,7,3,0
150003,2,203,Brand Search,2025-09-24,16079,16,93.74,1,0,1
150004,2,204,Weekend Sale,2025-09-24,13227,25,135.69,5,2,0
150005,2,205,Email Blast Oct,2025-09-24,6467,65,167.81,3,1,1
150006,2,200,Email Blast Oct,2025-09-25,1280,229,391.78,7,1,1
150007,1,201,SUV Push,2025-09-25,6143,221,173.46,0,0,0
150008,1,202,SUV Push,2025-09-25,4862,251,179.93,22,5,0
150009,2,203,Used Car Promo,2025-09-25,1997,1,53.09,1,0,1
150010,1,204,Email Blast Oct,2025-09-25,19455,122,66.68,0,0,0
150011,1,205,SUV Push,2025-09-25,13310,60,169.75,0,0,1
150012,2,200,Brand Search,2025-09-26,16202,71,65.6,7,3,0
150013,2,201,Email Blast Oct,2025-09-26,11037,277,327.01,53,2,1
150014,1,202,Used Car Promo,2025-09-26,8026,198,56.09,1,1,0
150015,1,203,Weekend Sale,2025-09-26,3171,60,158.45,3,1,0
150016,2,204,Weekend Sale,2025-09-26,10431,43,63.87,8,2,1
150017,1,205,Email Blast Oct,2025-09-26,18786,72,194.43,4,0,0
150018,2,200,Used Car Promo,2025-09-27,2241,6,8.06,1,0,1
150019,2,201,Used Car Promo,2025-09-27,14630,15,18.54,2,1,1
150020,2,202,Brand Search,2025-09-27,4858,226,157.42,6,0,0
150021,1,203,SUV Push,2025-09-27,17664,71,186.54,11,4,0
150022,1,204,Used Car Promo,2025-09-27,14638,262,139.47,49,9,0
150023,2,205,Email Blast Oct,2025-09-27,1103,72,129.63,8,0,1
150024,2,200,Email Blast Oct,2025-09-28,15321,69,68.4,5,2,0
150025,2,201,Brand Search,2025-09-28,7283,81,104.94,14,0,0
150026,1,202,Weekend Sale,2025-09-28,3103,81,198.87,4,2,1
150027,2,203,Weekend Sale,2025-09-28,13719,59,190.74,10,1,1
150028,1,204,Used Car Promo,2025-09-28,9399,9,149.83,1,0,0
150029,1,205,Brand Search,2025-09-28,7178,88,58.31,13,3,0
