progress_id,program_id,store_id,date,units_to_date,target_units,bonus_earned_flag,est_bonus_amount
180000,400,2,2025-10-01,2,60,False,0.0
180001,400,1,2025-10-02,4,60,False,0.0
180002,400,2,2025-10-03,5,60,False,0.0
180003,400,1,2025-10-04,6,60,False,0.0
180004,400,2,2025-10-05,7,60,False,0.0
180005,400,2,2025-10-06,9,60,False,0.0
180006,400,1,2025-10-07,9,60,False,0.0
180007,400,2,2025-10-08,9,60,False,0.0
180008,400,2,2025-10-09,12,60,False,0.0
180009,400,1,2025-10-10,13,60,False,0.0
180010,400,2,2025-10-11,13,60,False,0.0
180011,400,1,2025-10-12,15,60,False,0.0
180012,400,2,2025-10-13,16,60,False,0.0
180013,400,1,2025-10-14,16,60,False,0.0
180014,400,1,2025-10-15,16,60,False,0.0
180015,400,1,2025-10-16,18,60,False,0.0
180016,400,2,2025-10-17,19,60,False,0.0
180017,400,1,2025-10-18,20,60,False,0.0
180018,400,1,2025-10-19,23,60,False,0.0
180019,400,2,2025-10-20,24,60,False,0.0
180020,400,2,2025-10-21,25,60,False,0.0
180021,400,2,2025-10-22,27,60,False,0.0
180022,400,2,2025-10-23,30,60,False,0.0
180023,400,2,2025-10-24,30,60,False,0.0
180024,400,2,2025-10-25,33,60,False,0.0
180025,400,2,2025-10-26,33,60,False,0.0
180026,400,1,2025-10-27,36,60,False,0.0
180027,400,2,2025-10-28,37,60,False,0.0
180028,400,1,2025-10-29,37,60,False,0.0
180029,400,2,2025-10-30,40,60,False,0.0
180030,400,1,2025-10-31,42,60,False,0.0
180031,401,2,2025-10-01,0,40,False,0.0
180032,401,2,2025-10-02,0,40,False,0.0
180033,401,2,2025-10-03,0,40,False,0.0
180034,401,1,2025-10-04,1,40,False,0.0
180035,401,1,2025-10-05,3,40,False,0.0
180036,401,2,2025-10-06,5,40,False,0.0
180037,401,1,2025-10-07,8,40,False,0.0
180038,401,1,2025-10-08,10,40,False,0.0
180039,401,2,2025-10-09,10,40,False,0.0
180040,401,2,2025-10-10,10,40,False,0.0
180041,401,1,2025-10-11,12,40,False,0.0
180042,401,2,2025-10-12,12,40,False,0.0
180043,401,2,2025-10-13,15,40,False,0.0
180044,401,2,2025-10-14,17,40,False,0.0
180045,401,1,2025-10-15,19,40,False,0.0
180046,401,2,2025-10-16,19,40,False,0.0
180047,401,2,2025-10-17,19,40,False,0.0
180048,401,1,2025-10-18,22,40,False,0.0
180049,401,2,2025-10-19,22,40,False,0.0
180050,401,1,2025-10-20,22,40,False,0.0
180051,401,2,2025-10-21,22,40,False,0.0
180052,401,2,2025-10-22,24,40,False,0.0
180053,401,2,2025-10-23,24,40,False,0.0
180054,401,1,2025-10-24,24,40,False,0.0
180055,401,1,2025-10-25,25,40,False,0.0
180056,401,1,2025-10-26,25,40,False,0.0
180057,401,2,2025-10-27,26,40,False,0.0
180058,401,1,2025-10-28,29,40,False,0.0
180059,401,1,2025-10-29,29,40,False,0.0
180060,401,2,2025-10-30,31,40,False,0.0
180061,401,1,2025-10-31,33,40,False,0.0
180062,401,1,2025-11-01,36,40,False,0.0
180063,401,2,2025-11-02,37,40,False,0.0
180064,401,1,2025-11-03,39,40,False,0.0
180065,401,1,2025-11-04,41,40,True,24270.65
180066,401,2,2025-11-05,44,40,True,17301.23
180067,401,1,2025-11-06,45,40,True,18059.37
180068,401,2,2025-11-07,47,40,True,3303.78
180069,401,1,2025-11-08,47,40,True,15122.54
180070,401,2,2025-11-09,50,40,True,6591.18
180071,401,1,2025-11-10,50,40,True,19052.18
180072,401,2,2025-11-11,53,40,True,1064.29
180073,401,1,2025-11-12,56,40,True,14914.52
180074,401,1,2025-11-13,56,40,True,14987.13
180075,401,2,2025-11-14,56,40,True,21641.32
180076,401,1,2025-11-15,56,40,True,4992.3
180077,401,2,2025-11-16,57,40,True,9464.31
180078,401,2,2025-11-17,57,40,True,13427.85
180079,401,1,2025-11-18,59,40,True,8572.76
180080,401,1,2025-11-19,62,40,True,4661.77
