parts_invoice_id,store_id,ro_id,ticket_type,part_no,qty,unit_cost,unit_price,extended_cost,extended_price,bin_location,backorder_flag
120000,2,110000,Retail,PN-77543,3,136.78,188.91,410.34,566.73,A6-B6,False
120001,2,110000,Retail,PN-81219,1,177.24,238.99,177.24,238.99,A4-B3,False
120002,2,110000,Internal,PN-94560,1,41.74,61.2,41.74,61.2,A1-B5,False
120003,1,110001,Retail,PN-64443,2,255.37,333.54,510.74,667.08,A9-B8,False
120004,2,110002,Retail,PN-77984,2,8.67,15.78,17.34,31.56,A3-B8,False
120005,2,110002,Retail,PN-57603,1,261.11,405.43,261.11,405.43,A18-B5,False
120006,2,110002,Retail,PN-28670,2,49.59,73.87,99.18,147.74,A20-B2,False
120007,2,110002,Warranty,PN-41600,3,206.02,335.15,618.06,1005.45,A4-B7,False
120008,1,110003,Retail,PN-18299,3,107.57,200.59,322.71,601.77,A15-B4,False
120009,1,110003,Warranty,PN-34398,3,255.95,329.1,767.85,987.3,A1-B6,False
120010,2,110004,Retail,PN-63993,3,332.39,430.06,997.17,1290.18,A6-B2,False
120011,2,110004,Warranty,PN-40968,2,200.96,297.47,401.92,594.94,A18-B9,False
120012,1,110005,Retail,PN-85707,2,210.19,295.73,420.38,591.46,A18-B4,False
120013,1,110005,Warranty,PN-70689,2,66.39,123.72,132.78,247.44,A16-B4,False
120014,2,110006,Retail,PN-43278,2,58.16,114.98,116.32,229.96,A19-B8,False
120015,2,110006,Warranty,PN-86318,3,43.64,56.83,130.92,170.49,A15-B1,False
120016,2,110006,Retail,PN-97388,1,110.2,200.86,110.2,200.86,A20-B8,False
120017,2,110006,Warranty,PN-52844,2,183.3,324.85,366.6,649.7,A5-B10,False
120018,1,110007,Warranty,PN-22917,1,53.11,71.41,53.11,71.41,A5-B6,False
120019,1,110007,Retail,PN-15828,3,258.47,389.03,775.41,1167.09,A9-B9,False
120020,1,110008,Retail,PN-99600,3,173.86,229.04,521.58,687.12,A7-B6,False
120021,1,110008,Retail,PN-17979,2,60.25,87.17,120.5,174.34,A2-B4,True
120022,1,110008,Retail,PN-85060,2,67.89,110.15,135.78,220.3,A19-B6,False
120023,1,110008,Internal,PN-84778,1,121.36,159.36,121.36,159.36,A3-B1,False
