recon_id,vehicle_id,ro_id,date,vendor,cost,status,days_in_recon
160000,9070,,2025-09-10,DetailerCo,127.66,Complete,5
160001,9056,,2025-09-30,DetailerCo,562.9,Open,7
160002,9056,,2025-10-06,DentFix,503.59,In-Progress,0
160003,9056,,2025-10-03,DentFix,309.02,Complete,1
160004,9072,,2025-10-21,GlassWorks,238.81,Complete,4
160005,9072,,2025-08-27,DentFix,284.44,In-Progress,6
160006,9048,,2025-10-16,TirePros,510.9,In-Progress,6
160007,9046,,2025-09-01,DentFix,811.68,In-Progress,3
160008,9046,,2025-09-16,TirePros,393.51,Open,1
160009,9043,,2025-10-10,GlassWorks,366.85,Complete,0
160010,9043,,2025-09-21,DentFix,847.63,Open,2
160011,9043,,2025-08-24,GlassWorks,540.33,Open,4
160012,9069,,2025-10-04,GlassWorks,84.86,In-Progress,6
160013,9069,,2025-09-16,DentFix,67.37,Open,6
160014,9011,,2025-09-07,DetailerCo,336.84,Open,7
160015,9000,,2025-09-25,DetailerCo,827.62,Complete,3
160016,9000,,2025-10-04,DentFix,72.99,In-Progress,3
160017,9042,,2025-10-07,Internal,744.81,In-Progress,8
160018,9030,,2025-09-19,DentFix,205.58,Open,7
160019,9019,,2025-10-02,Internal,596.02,Open,8
160020,9019,,2025-09-25,DentFix,434.3,Complete,5
160021,9019,,2025-10-06,GlassWorks,235.33,In-Progress,0
160022,9017,,2025-09-29,DentFix,450.12,Open,3
160023,9017,,2025-10-07,GlassWorks,308.98,Open,8
160024,9059,,2025-10-10,TirePros,889.3,Open,5
160025,9059,,2025-10-03,TirePros,770.94,Complete,2
160026,9051,,2025-09-22,Internal,754.17,Complete,4
160027,9027,,2025-10-11,Internal,777.98,In-Progress,8
160028,9027,,2025-10-09,DentFix,784.67,Complete,0
160029,9027,,2025-09-04,Internal,396.06,Open,1
160030,9021,,2025-10-22,Internal,698.56,Complete,7
160031,9021,,2025-09-30,DetailerCo,212.91,Complete,8
160032,9012,,2025-10-15,GlassWorks,118.08,Complete,2
160033,9012,,2025-09-02,DentFix,466.96,Complete,5
160034,9012,,2025-10-12,DetailerCo,870.91,Open,7
160035,9036,,2025-09-27,DentFix,438.91,Open,4
160036,9002,,2025-09-30,TirePros,273.05,In-Progress,2
160037,9002,,2025-10-07,GlassWorks,75.68,Complete,8
160038,9002,,2025-09-08,Internal,633.92,Complete,3
160039,9045,,2025-10-01,Internal,307.11,Complete,1
160040,9045,,2025-10-02,DentFix,289.94,Complete,7
160041,9065,,2025-09-04,Internal,894.8,Complete,5
160042,9028,,2025-09-16,TirePros,423.31,Open,8
160043,9028,,2025-09-07,GlassWorks,188.05,In-Progress,8
160044,9028,,2025-10-05,DetailerCo,681.12,In-Progress,0
160045,9067,,2025-10-06,Internal,174.69,Complete,7
160046,9067,,2025-09-19,DentFix,665.98,Open,8
160047,9067,,2025-09-17,DentFix,781.03,Open,4
160048,9037,,2025-09-14,GlassWorks,238.52,Open,0
160049,9037,,2025-10-17,TirePros,137.51,Complete,2
160050,9037,,2025-09-25,Internal,816.06,Complete,5
160051,9007,,2025-10-12,Internal,219.76,In-Progress,1
160052,9066,,2025-09-02,DentFix,96.24,Complete,4
160053,9066,,2025-09-06,Internal,86.15,Open,8
160054,9040,,2025-10-03,Internal,508.51,Complete,7
160055,9040,,2025-09-26,DetailerCo,185.43,Open,6
160056,9040,,2025-10-18,TirePros,517.73,Complete,4
160057,9026,,2025-10-05,Internal,327.31,Open,7
160058,9026,,2025-10-05,GlassWorks,175.21,Complete,5
160059,9026,,2025-10-04,DentFix,858.7,Open,4
160060,9010,,2025-08-24,DentFix,113.97,Complete,1
160061,9078,,2025-10-17,Internal,559.86,In-Progress,2
160062,9078,,2025-09-18,DetailerCo,729.84,In-Progress,0
160063,9078,,2025-09-01,Internal,523.85,Complete,3
160064,9071,,2025-10-03,DetailerCo,152.04,Open,6
160065,9071,,2025-09-10,TirePros,215.43,In-Progress,3
160066,9071,,2025-09-17,DetailerCo,327.15,Complete,4
160067,9055,,2025-10-15,DentFix,898.57,Complete,0
160068,9055,,2025-10-10,TirePros,119.04,Open,2
160069,9008,,2025-09-06,DentFix,187.96,In-Progress,0
160070,9008,,2025-09-07,DentFix,547.73,Open,5
160071,9006,,2025-10-21,TirePros,57.61,Complete,7
160072,9015,,2025-08-27,DetailerCo,749.48,Complete,6
160073,9015,,2025-08-24,DetailerCo,601.67,In-Progress,4
160074,9062,,2025-10-17,TirePros,369.12,Open,0
160075,9064,,2025-10-11,DentFix,351.63,Complete,4
160076,9064,,2025-10-07,GlassWorks,476.05,Open,7
160077,9074,,2025-10-06,Internal,712.05,In-Progress,3
160078,9074,,2025-09-10,GlassWorks,792.65,Complete,8
160079,9060,,2025-09-29,DentFix,151.03,Complete,7
160080,9033,,2025-10-08,DentFix,490.11,In-Progress,6
160081,9022,,2025-09-07,DentFix,899.2,Open,0
160082,9049,,2025-10-01,GlassWorks,392.75,In-Progress,8
160083,9049,,2025-08-28,DetailerCo,396.59,Complete,5
160084,9077,,2025-10-21,DetailerCo,313.85,In-Progress,2
160085,9077,,2025-09-04,GlassWorks,686.22,In-Progress,8
160086,9077,,2025-09-19,GlassWorks,378.91,Open,2
160087,9032,,2025-08-28,DentFix,376.26,In-Progress,6
160088,9001,,2025-09-17,GlassWorks,210.77,In-Progress,2
160089,9050,,2025-10-13,GlassWorks,827.59,Complete,3
160090,9050,,2025-10-10,DentFix,233.04,Complete,6
160091,9050,,2025-10-08,DentFix,522.58,In-Progress,7
160092,9063,,2025-08-24,TirePros,209.2,In-Progress,1
160093,9063,,2025-09-04,Internal,260.0,Complete,8
160094,9063,,2025-10-20,GlassWorks,855.4,In-Progress,3
160095,9034,,2025-09-26,DetailerCo,328.27,Complete,1
160096,9044,,2025-08-24,Internal,892.39,In-Progress,0
