ro_id,store_id,customer_id,vehicle_id,advisor_id,opened_ts,closed_ts,line_count,hours_sold,labor_sales,parts_sales,sublet_sales,total_sales,labor_cost,parts_cost,gross,warranty_flag,comeback_flag,mpi_performed_flag,upsell_amount,carryover_flag,loaner_used_flag
110000,2,5092,9037,1015,2025-09-30T11:00:00,2025-10-02T00:46:41.839016,6,1.87,537.01,1473.29,376.87,2387.17,186.27,784.41,1416.49,False,False,True,721.17,True,False
110001,1,5063,9050,1008,2025-09-10T08:00:00,2025-09-12T00:23:39.656310,2,4.38,1428.26,1392.33,412.03,3232.62,373.44,1068.46,1790.72,False,False,True,386.82,False,False
110002,2,5022,9068,1008,2025-09-29T11:00:00,2025-10-02T05:56:58.587953,1,11.48,486.54,83.28,350.47,920.29,208.58,45.93,665.78,False,False,True,880.81,False,False
110003,1,5052,9062,1025,2025-08-30T10:00:00,2025-09-01T23:10:36.331731,5,5.5,870.35,290.18,104.13,1264.66,231.6,154.44,878.62,True,False,False,401.55,False,False
110004,2,5054,9024,1015,2025-09-19T14:00:00,2025-09-20T22:58:36.944125,6,4.2,741.3,941.83,228.1,1911.23,268.63,547.69,1094.91,False,False,True,754.4,False,False
110005,1,5091,9049,1025,2025-10-08T08:00:00,2025-10-10T04:04:00.294079,5,10.83,729.58,1192.7,124.28,2046.56,214.69,741.3,1090.57,False,False,False,864.59,False,False
110006,2,5015,9027,1008,2025-10-04T08:00:00,2025-10-05T17:39:25.943364,7,3.43,748.86,550.52,228.58,1527.96,260.07,394.86,873.03,False,False,True,897.39,False,True
110007,1,5053,9031,1025,2025-10-17T16:00:00,2025-10-19T15:09:02.254853,3,1.56,1473.44,1276.56,587.5,3337.5,455.84,929.61,1952.05,False,False,True,71.33,False,False
110008,1,5075,9001,1025,2025-09-11T09:00:00,2025-09-13T23:05:42.063739,1,7.09,1655.46,382.18,186.96,2224.6,589.6,217.67,1417.33,False,False,False,780.13,False,False
110009,1,5102,9019,1025,2025-09-23T13:00:00,2025-09-26T05:38:40.345109,2,9.46,1469.29,333.31,427.52,2230.12,323.56,176.81,1729.75,True,False,True,161.03,False,True
110010,1,5052,9004,1008,2025-10-13T07:00:00,2025-10-14T07:47:00.420667,8,2.29,548.42,1229.29,300.55,2078.26,256.91,759.88,1061.47,True,False,False,750.85,False,False
110011,1,5064,9069,1015,2025-09-08T14:00:00,2025-09-09T04:15:36.541389,8,6.58,506.93,978.2,452.71,1937.84,111.59,599.86,1226.39,True,False,True,495.28,False,False
110012,2,5047,9003,1008,2025-09-22T15:00:00,2025-09-23T17:46:31.742466,1,2.88,1315.57,1136.55,450.98,2903.1,469.71,707.28,1726.11,False,False,True,268.6,False,False
110013,1,5018,9044,1025,2025-09-17T11:00:00,2025-09-18T15:09:13.100833,5,5.06,421.77,73.26,261.32,756.35,165.14,39.86,551.35,False,False,False,813.3,False,False
110014,1,5019,9069,1015,2025-10-08T14:00:00,2025-10-09T18:00:34.914684,6,1.11,304.31,1441.45,147.22,1892.98,74.15,997.49,821.34,True,False,True,588.09,False,False
110015,1,5073,9024,1008,2025-09-15T15:00:00,2025-09-17T07:36:44.894884,2,2.18,1767.93,1278.4,40.65,3086.98,529.38,758.22,1799.38,True,False,True,22.22,False,False
110016,1,5068,9011,1015,2025-08-25T14:00:00,2025-08-26T20:14:19.837605,8,5.48,871.7,951.57,170.96,1994.23,187.66,623.37,1183.2,False,False,True,493.19,False,False
110017,2,5061,9013,1015,2025-09-02T13:00:00,2025-09-03T14:06:38.319632,7,3.03,1338.09,971.05,86.37,2395.51,573.55,542.72,1279.24,False,True,True,119.65,False,True
110018,2,5031,9045,1008,2025-10-14T09:00:00,2025-10-15T16:53:01.696047,4,5.89,1783.53,355.39,594.62,2733.54,444.13,181.69,2107.72,False,False,False,444.13,True,False
110019,2,5113,9022,1025,2025-10-20T12:00:00,2025-10-22T09:10:33.185245,6,6.56,1543.02,1435.72,154.85,3133.59,567.17,1100.84,1465.58,False,False,False,530.8,False,False
110020,2,5062,9051,1008,2025-10-12T10:00:00,2025-10-13T03:50:02.121637,5,9.72,911.44,525.82,305.3,1742.56,318.7,377.16,1046.7,True,False,False,499.51,False,False
110021,2,5024,9051,1008,2025-09-08T14:00:00,2025-09-11T07:21:44.014029,4,2.37,1279.5,783.47,247.59,2310.56,409.38,524.9,1376.28,False,False,False,59.69,False,False
110022,2,5099,9063,1015,2025-09-20T13:00:00,2025-09-23T00:03:15.330376,4,5.16,893.86,94.36,562.56,1550.78,210.48,53.85,1286.45,True,False,True,549.52,False,True
110023,1,5085,9051,1025,2025-09-13T16:00:00,2025-09-14T20:22:45.606801,3,11.91,221.2,1204.48,5.09,1430.77,80.1,780.26,570.41,True,True,True,120.13,False,False
110024,1,5018,9054,1025,2025-10-06T12:00:00,2025-10-08T12:37:26.674384,1,9.95,364.18,499.16,59.98,923.32,181.69,261.91,479.72,True,False,True,351.78,False,True
110025,1,5013,9060,1015,2025-09-30T11:00:00,2025-10-02T08:04:49.641414,4,8.42,1510.7,462.45,38.97,2012.12,576.86,267.29,1167.97,False,True,False,598.51,False,False
110026,2,5104,9072,1008,2025-09-15T15:00:00,2025-09-16T14:26:52.487265,4,5.8,1481.18,656.06,558.3,2695.54,649.17,494.76,1551.61,False,False,True,52.87,False,True
