visit_id,store_id,customer_id,vehicle_id,salesperson_id,manager_id,test_drive_flag,pencil_count,wrote_deal_flag,time_in,time_out
65000,2,5068,9001,1018,1003,True,3,False,2025-10-12T02:31:00,2025-10-12T04:48:59.486945
65001,2,5074,9015,1018,1022,True,3,True,2025-10-13T06:39:00,2025-10-13T07:33:53.511053
65002,2,5028,9078,1007,1014,False,2,True,2025-09-17T10:58:00,2025-09-17T12:05:41.154266
65003,2,5082,9041,1007,1023,True,2,True,2025-10-18T05:38:00,2025-10-18T07:55:15.732867
65004,1,5079,9075,1009,1003,False,2,False,2025-10-20T03:59:00,2025-10-20T04:39:03.432118
65005,2,5114,9000,1007,1014,True,4,False,2025-09-12T05:46:00,2025-09-12T07:36:39.583450
65006,1,5043,9059,1009,1003,True,2,True,2025-10-10T06:59:00,2025-10-10T07:39:00.948015
65007,2,5010,9001,1018,1022,False,3,False,2025-10-19T10:05:00,2025-10-19T12:38:06.789875
65008,2,5066,9062,1018,1022,True,2,True,2025-10-25T10:55:00,2025-10-25T12:25:29.415232
65009,1,5094,9025,1009,1014,True,1,True,2025-09-03T02:48:00,2025-09-03T03:40:51.796227
65010,2,5103,9074,1009,1023,True,3,False,2025-10-10T08:03:00,2025-10-10T09:51:20.860212
65011,2,5096,9040,1007,1023,True,2,False,2025-09-29T00:05:00,2025-09-29T02:25:35.389737
65012,1,5119,9033,1007,1027,True,1,True,2025-09-23T09:01:00,2025-09-23T09:44:42.044420
65013,1,5011,9036,1007,1027,True,4,True,2025-09-28T23:54:00,2025-09-29T02:38:23.580079
65014,2,5071,9034,1018,1014,False,2,False,2025-09-26T03:38:00,2025-09-26T05:18:45.201699
65015,2,5033,9019,1018,1023,True,3,False,2025-09-19T07:24:00,2025-09-19T08:50:35.785965
65016,1,5022,9038,1018,1027,False,2,False,2025-10-09T07:02:00,2025-10-09T08:19:32.747319
65017,1,5042,9075,1009,1003,True,4,False,2025-09-24T07:49:00,2025-09-24T10:24:02.444405
65018,1,5081,9069,1018,1003,False,3,True,2025-09-27T02:02:00,2025-09-27T03:09:34.851357
65019,2,5070,9053,1018,1014,True,4,True,2025-09-11T06:58:00,2025-09-11T09:37:55.245948
65020,1,5001,9057,1009,1023,True,1,True,2025-10-09T06:06:00,2025-10-09T07:59:58.146204
65021,1,5004,9057,1007,1022,True,3,True,2025-09-23T09:59:00,2025-09-23T11:23:08.922398
65022,2,5025,9054,1018,1023,False,3,True,2025-10-05T04:29:00,2025-10-05T05:54:19.806838
65023,2,5018,9050,1009,1022,True,3,True,2025-09-06T03:40:00,2025-09-06T04:51:14.562762
