time_entry_id,ro_id,tech_id,job_code,flagged_hours,actual_hours,effective_rate
130000,110000,1011,DIAG,2.93,2.83,287.17
130001,110000,1001,BRK,3.26,2.78,287.17
130002,110000,1011,ALIGN,1.2,0.98,287.17
130003,110001,1000,LOF,3.44,3.28,326.09
130004,110001,1000,WARR,2.98,2.65,326.09
130005,110002,1011,BRK,0.82,0.9,42.38
130006,110003,1013,TIRES,3.18,2.8,158.25
130007,110004,1019,DIAG,3.5,3.54,176.5
130008,110004,1013,BRK,1.0,1.03,176.5
130009,110005,1000,ALIGN,3.78,4.49,67.37
130010,110005,1011,MAINT,2.56,3.02,67.37
130011,110005,1011,MAINT,1.63,1.5,67.37
130012,110006,1000,LOF,1.77,1.57,218.33
130013,110006,1000,LOF,3.76,3.84,218.33
130014,110007,1013,LOF,3.59,3.15,944.51
130015,110007,1000,WARR,3.75,4.11,944.51
130016,110008,1001,TIRES,1.02,1.0,233.49
130017,110009,1011,LOF,1.07,0.9,155.32
130018,110009,1013,ALIGN,2.75,2.99,155.32
130019,110010,1013,WARR,2.86,3.2,239.48
130020,110010,1000,ALIGN,3.34,3.78,239.48
130021,110010,1011,MAINT,3.23,3.86,239.48
130022,110011,1011,DIAG,3.62,3.72,77.04
130023,110011,1001,WARR,3.09,3.66,77.04
130024,110011,1013,DIAG,2.72,2.88,77.04
130025,110012,1000,TIRES,0.54,0.49,456.8
130026,110012,1001,LOF,1.07,0.99,456.8
130027,110013,1000,LOF,3.24,3.67,83.35
130028,110013,1011,DIAG,0.9,0.92,83.35
130029,110013,1011,MAINT,1.75,1.53,83.35
130030,110014,1001,ALIGN,1.04,0.89,274.15
130031,110015,1011,DIAG,0.33,0.27,810.98
130032,110016,1000,LOF,3.97,3.52,159.07
130033,110016,1013,DIAG,0.38,0.33,159.07
130034,110016,1000,MAINT,1.93,2.11,159.07
130035,110017,1000,DIAG,3.2,3.03,441.61
130036,110017,1013,ALIGN,3.47,2.97,441.61
130037,110018,1001,MAINT,1.59,1.79,302.81
130038,110018,1011,LOF,0.51,0.46,302.81
130039,110018,1001,LOF,0.51,0.6,302.81
130040,110019,1013,LOF,2.45,2.71,235.22
130041,110019,1001,BRK,1.17,1.04,235.22
130042,110019,1000,WARR,0.77,0.71,235.22
130043,110020,1000,BRK,3.3,3.69,93.77
130044,110020,1001,MAINT,1.98,1.71,93.77
130045,110020,1011,BRK,3.25,2.98,93.77
130046,110021,1011,MAINT,3.31,3.6,539.87
130047,110021,1000,WARR,3.57,3.52,539.87
130048,110022,1011,WARR,2.68,2.88,173.23
130049,110022,1019,WARR,1.26,1.06,173.23
130050,110023,1011,MAINT,3.72,3.05,18.57
130051,110024,1013,LOF,1.14,1.31,36.6
130052,110024,1001,TIRES,3.22,3.18,36.6
130053,110024,1001,LOF,2.17,2.54,36.6
130054,110025,1019,WARR,2.52,2.83,179.42
130055,110025,1019,TIRES,2.85,2.72,179.42
130056,110026,1001,LOF,1.24,1.24,255.38
130057,110026,1013,ALIGN,2.1,2.21,255.38
130058,110026,1001,BRK,3.15,2.62,255.38
130059,110027,1000,ALIGN,0.61,0.73,124.56
130060,110028,1011,MAINT,3.87,3.16,52.0
130061,110028,1019,BRK,2.35,2.64,52.0
130062,110029,1000,DIAG,3.69,4.39,149.56
130063,110029,1013,TIRES,3.46,3.96,149.56
130064,110029,1001,ALIGN,2.87,3.21,149.56
130065,110030,1019,ALIGN,1.6,1.66,12.83
