trade_id,deal_id,vin_trade,year,make,model,miles,ACV,offered_allowance,recon_estimate,market_days_supply,retail_or_wholesale
35950,90001,NVXJ5NV4241F8B8GX,2016,Chevrolet,Mustang,131923,7423.85,16126.62,3474.55,58,Wholesale
31610,90002,DCNFWMXDBDW1NZD49,2016,Honda,Malibu,127209,15303.8,10200.48,347.58,49,Retail
38515,90005,MRXEP8PAC1PHVASYM,2014,Honda,Silverado 1500,135371,1939.89,24892.83,667.51,53,Wholesale
38053,90007,T4WPU3A331UN8TA2C,2019,Chevrolet,Accord,88451,2481.01,19060.06,577.46,42,Wholesale
33683,90010,8EMXLT2VVVTGH2NF8,2011,Honda,Malibu,39357,10848.1,8423.4,560.83,51,Retail
31907,90013,1MFES405K5C9NPXCA,2010,Ford,RAV4,76013,8352.46,11605.55,862.14,29,Retail
38690,90016,KV9ERMNY5B5ESVLKX,2008,Toyota,Civic,137459,11878.99,12325.02,257.62,43,Wholesale
33313,90018,X0CKGRA1AD1HRCEB7,2022,Chevrolet,RAV4,131388,10443.1,6006.62,2668.63,84,Wholesale
35143,90021,Z67K60RKVM1TL0B4W,2010,Toyota,Explorer,137576,15924.4,23972.8,1986.95,51,Wholesale
38657,90022,JZP233655160YX2JP,2011,Honda,F-150,178999,5086.64,2446.87,3082.9,68,Wholesale
39416,90024,30WP2K7G5W3DNPYL1,2022,Chevrolet,Accord,146124,1500.54,8051.53,881.3,44,Retail
39861,90025,K2NK3X6SJ8XCGEFBA,2022,Toyota,Silverado 1500,53579,7579.17,23667.87,3175.95,47,Wholesale
35078,90028,PWE0X57YMVWGLKL3H,2016,Chevrolet,Accord,177236,12598.75,21076.83,1749.57,57,Wholesale
36613,90030,SHK5GCJ1717LB05M5,2022,Toyota,Explorer,178578,8220.41,16007.5,1321.26,32,Wholesale
37793,90031,EMJW2KHNXVFZ8B3L0,2021,Ford,F-150,164590,6885.16,12146.4,1917.42,25,Retail
30191,90034,LDSWT54YCU6FYCJAB,2012,Chevrolet,F-150,153239,8980.36,14730.08,318.74,56,Wholesale
31359,90036,Y0943YJZTN8VUF5FX,2021,Toyota,Camry,63692,17930.76,24191.02,553.26,31,Retail
31640,90037,EKSFEAAYEK6YGHDJN,2022,Toyota,Accord,54039,16083.34,17329.53,502.23,77,Wholesale
39105,90038,RPDF1XN7N8M7VD5M9,2008,Toyota,Accord,81831,6528.49,17034.88,3097.98,46,Wholesale
36577,90039,ENMXRL2V39VP4TZSA,2018,Ford,RAV4,72274,2357.72,3963.31,407.18,66,Wholesale
